id,layer,domain,valid,consensus,subject_modals,norm,preference,D,C,A
1,habitus,resource,False,0,DNRBBDDD,0,0,0.4370410538707047,0.3936378983249734,0.24970997082338636
2,habitus,resource,True,0,AAAAABA,0,0,0.4587813417834815,0.40970756282229936,0.28463043665742294
3,habitus,resource,True,0,DDDBDAD,0,0,0.49734879014709177,0.4756967932069004,0.3130032514802331
4,habitus,resource,True,0,DDAAAAA,0,0,0.4360942557185177,0.3974348750586484,0.27510850318252716
6,habitus,build_search,False,0,ACACANRC,0,0,0.5129082265330499,0.4928354730635334,0.3330634601309567
8,habitus,reversibility,False,0,BDDBBNRB,0,0,0.5010242594810613,0.4829569580351677,0.30497523187976244
9,habitus,reversibility,True,0,CBCCBCC,0,0,0.48339921213397175,0.3876406392197754,0.2933488357290263
10,habitus,reversibility,False,0,CADNRNRNRC,0,0,0.4876158993960442,0.4512581094282706,0.2741899369373758
11,habitus,verification,True,0,AADAAAA,0,0,0.5767067069623646,0.5389975345117187,0.28533967954522504
14,habitus,delegation,True,0,ACCCCCC,0,0,0.4620178452370546,0.4350987789889181,0.282706196529975
15,habitus,delegation,True,1,AAAAAAA,0,0,0.6256142833550256,0.6236235800405551,0.4370577560752219
16,habitus,delegation,False,0,CCNRCANRA,0,0,0.5072414061288198,0.48956307753973805,0.3286341029772158
17,habitus,risk_time,True,0,CBDDDDD,0,0,0.4942128752713594,0.4326530820378496,0.288816157212473
19,habitus,risk_time,True,0,CCACCCC,0,0,0.4597021280215772,0.42529611730908,0.27253482844155374
22,habitus,candor,True,0,ADABDBB,0,0,0.5442866759488869,0.5132259149767908,0.3246024408042111
23,habitus,rules,True,1,AAAAAAA,0,0,0.5055724264949802,0.46284621742106546,0.25548354072168816
24,habitus,rules,True,1,CCCCCCC,0,0,0.41004787262862025,0.3348699477391116,0.2562881468647344
25,habitus,rules,True,0,AACCCBC,0,0,0.47765325199305214,0.419798108693122,0.2937621655139762
27,habitus,verification,True,1,BBBBBBB,0,0,0.6722011515402639,0.6722011515402639,0.4805087106433308
28,habitus,risk_time,False,0,ANRDANRAA,0,0,0.4597348726527407,0.4370485168319661,0.2770922424635694
29,habitus,resource,True,0,DDADDDA,0,0,0.4524723828178538,0.42796348415123253,0.258299063296227
30,habitus,rules,False,0,NRDADDAD,0,0,0.5167274985617408,0.4789013377561634,0.31744031967986047
31,habitus,resource,False,0,CDADNRCC,0,0,0.46399008962009597,0.4077360870645081,0.28445907084563443
